Timestamp,House
2/24/2026 10:12:11,Hufflepuff
2/24/2026 13:48:18,Ravenclaw
2/24/2026 13:48:24,Hufflepuff
2/24/2026 13:48:36,Ravenclaw
2/24/2026 13:48:38,Hufflepuff
2/24/2026 13:48:45,Hufflepuff
2/24/2026 13:48:54,Hufflepuff
2/24/2026 13:48:57,Slytherin
2/24/2026 13:49:05,Slytherin
2/24/2026 13:49:06,Slytherin
2/24/2026 13:49:12,Ravenclaw
2/24/2026 13:49:26,Ravenclaw
2/24/2026 13:49:27,Hufflepuff
2/24/2026 13:49:32,Slytherin
2/24/2026 13:49:39,Hufflepuff
2/24/2026 13:49:52,Hufflepuff
2/24/2026 13:50:17,Hufflepuff
2/24/2026 13:50:48,Ravenclaw
